Timestamp,Mode,Facing,Posture Status,Head Tilt,Confidence Score
2025-07-24 09:25:30,front,front,Good Posture,0.02072635293006897,4
2025-07-24 09:25:33,front,front,Detecting moderate... (1.9s),0.020465463399887085,0

2025-10-08 15:53:22,front,front,Stabilizing... (3.0s),0.0002447068691253662,0
2025-10-08 15:53:25,front,front,Good Posture,0.01971966028213501,6
2025-10-08 15:53:28,front,front,Detecting moderate... (1.4s),0.034815847873687744,2
2025-10-08 15:53:31,front,front,Good Posture,0.001265496015548706,0
2025-10-08 15:53:34,front,front,Detecting bad... (1.6s),0.027289897203445435,5
2025-10-08 15:53:37,front,front,Moderately Bad Posture,0.005767524242401123,4
2025-10-08 15:53:40,front,front,Moderately Bad Posture,0.021643131971359253,4
2025-10-08 15:53:43,front,front,Moderately Bad Posture,0.021162211894989014,3
2025-10-08 15:53:46,front,front,Moderately Bad Posture,0.025563687086105347,3
2025-10-08 15:53:49,front,front,Moderately Bad Posture,0.02510187029838562,2
2025-10-08 15:53:53,front,front,Moderately Bad Posture,0.025221973657608032,3
2025-10-08 15:53:56,front,front,Detecting good... (1.9s),0.013230681419372559,0
2025-10-08 15:53:59,front,front,Good Posture,0.02445957064628601,0
2025-10-08 15:54:02,front,front,Good Posture,0.022141337394714355,1
2025-10-08 15:54:05,front,front,Detecting bad... (1.8s),0.03115740418434143,5
2025-10-08 15:54:08,front,front,Bad Posture,0.028786897659301758,4
2025-10-08 15:54:11,front,front,Bad Posture,0.02610105276107788,4
2025-10-10 11:36:27,front,front,Stabilizing... (3.0s),0.01660141348838806,4
2025-10-10 11:36:30,front,front,Good Posture,0.013973504304885864,4
2025-10-10 11:36:33,front,front,Moderately Bad Posture,0.03101593255996704,4
2025-10-10 11:36:36,front,front,Moderately Bad Posture,0.02448156476020813,4
2025-10-10 11:36:39,front,front,Moderately Bad Posture,0.029414862394332886,4
2025-10-10 11:36:42,front,front,Moderately Bad Posture,0.024397611618041992,4
2025-10-10 11:36:45,front,front,Moderately Bad Posture,0.025875210762023926,4
2025-10-10 11:36:48,front,front,Moderately Bad Posture,0.027858972549438477,4
2025-10-10 11:36:51,front,front,Moderately Bad Posture,0.001978248357772827,4
2025-10-10 11:36:54,front,front,Moderately Bad Posture,0.010665357112884521,4
2025-10-10 11:36:57,front,front,Moderately Bad Posture,0.012609034776687622,4
2025-10-10 11:37:00,front,front,Moderately Bad Posture,0.018953830003738403,4
2025-10-10 11:37:03,front,front,Moderately Bad Posture,0.020912855863571167,4
2025-10-10 11:37:06,front,front,Moderately Bad Posture,0.017730295658111572,4
2025-10-10 11:37:09,front,front,Moderately Bad Posture,0.01865723729133606,4
2025-10-10 11:37:12,front,front,Moderately Bad Posture,0.017719298601150513,4
2025-10-10 11:37:15,front,front,Moderately Bad Posture,0.01741519570350647,4
2025-10-10 11:37:18,front,front,Moderately Bad Posture,0.03129133582115173,4
2025-10-10 11:37:21,front,front,Moderately Bad Posture,0.02802807092666626,4
